incident_id,timestamp,resolved_at,region,device,incident_type,severity,mttr_minutes,status
INC-1000,2025-03-02 18:17:00,2025-03-02 21:11:00,eu-central-1,router-05,Link Down,Medium,174,Resolved
INC-1001,2025-03-03 10:06:00,2025-03-03 11:03:00,ap-southeast-1,router-03,MTU Mismatch,High,57,Resolved
INC-1002,2025-03-03 19:16:00,2025-03-03 21:44:00,us-east-1,router-01,Firewall CPU Overload,Medium,148,Resolved
INC-1003,2025-03-03 02:35:00,2025-03-03 03:53:00,eu-central-1,switch-core-05,Interface Error Rate High,High,78,Resolved
INC-1004,2025-03-03 01:42:00,2025-03-03 02:20:00,eu-central-1,firewall-05,DDoS Suspected,High,38,Resolved
INC-1005,2025-03-03 12:17:00,2025-03-03 16:00:00,us-east-1,lb-01,Interface Error Rate High,Low,223,Resolved
INC-1006,2025-03-04 08:44:00,2025-03-04 12:35:00,ap-southeast-1,router-03,Link Down,Medium,231,Resolved
INC-1007,2025-03-04 14:24:00,2025-03-04 16:05:00,eu-central-1,switch-core-05,BGP Route Flap,Medium,101,Resolved
INC-1008,2025-03-04 07:52:00,2025-03-04 10:49:00,ap-southeast-1,router-03,Interface Error Rate High,Low,177,Resolved
INC-1009,2025-03-05 06:41:00,2025-03-05 07:11:00,ap-southeast-1,lb-03,MTU Mismatch,Critical,30,Resolved
INC-1010,2025-03-05 07:47:00,2025-03-05 08:34:00,us-west-2,switch-core-04,MTU Mismatch,High,47,Resolved
INC-1011,2025-03-05 04:32:00,2025-03-05 06:28:00,eu-central-1,lb-05,Packet Loss Detected,Medium,116,Resolved
INC-1012,2025-03-05 20:10:00,2025-03-06 00:46:00,us-east-1,lb-01,Packet Loss Detected,Low,276,Resolved
INC-1013,2025-03-05 16:16:00,2025-03-05 19:15:00,us-west-2,router-04,Packet Loss Detected,Medium,179,Resolved
INC-1014,2025-03-06 03:18:00,2025-03-06 11:06:00,ap-southeast-1,lb-03,Link Down,Low,468,Resolved
INC-1015,2025-03-06 16:48:00,2025-03-06 17:14:00,us-west-2,firewall-04,Packet Loss Detected,Critical,26,Resolved
INC-1016,2025-03-06 19:12:00,2025-03-07 05:51:00,ap-southeast-1,firewall-03,Interface Error Rate High,Low,639,Resolved
INC-1017,2025-03-06 16:58:00,2025-03-06 21:17:00,eu-west-1,router-02,Interface Error Rate High,Medium,259,Resolved
INC-1018,2025-03-06 09:15:00,2025-03-06 09:48:00,us-west-2,router-04,BGP Route Flap,Critical,33,Resolved
INC-1019,2025-03-06 23:31:00,2025-03-07 02:58:00,eu-central-1,router-05,Link Down,Low,207,Resolved
INC-1020,2025-03-07 08:33:00,2025-03-07 13:22:00,us-west-2,lb-04,BGP Route Flap,Low,289,Resolved
INC-1021,2025-03-07 22:19:00,2025-03-08 03:44:00,eu-central-1,lb-05,Interface Error Rate High,Low,325,Resolved
INC-1022,2025-03-07 03:15:00,2025-03-07 12:57:00,us-west-2,firewall-04,Packet Loss Detected,Low,582,Resolved
INC-1023,2025-03-08 18:14:00,2025-03-08 20:12:00,us-east-1,router-01,Packet Loss Detected,Medium,118,Resolved
INC-1024,2025-03-08 10:04:00,2025-03-08 10:38:00,us-east-1,firewall-01,DDoS Suspected,High,34,Resolved
INC-1025,2025-03-09 18:36:00,2025-03-09 22:41:00,eu-west-1,lb-02,BGP Route Flap,Medium,245,Resolved
INC-1026,2025-03-09 03:06:00,2025-03-09 08:20:00,us-west-2,lb-04,Interface Error Rate High,Low,314,Resolved
INC-1027,2025-03-09 23:03:00,2025-03-10 03:44:00,us-west-2,router-04,High Latency Spike,Medium,281,Resolved
INC-1028,2025-03-10 07:12:00,2025-03-10 11:03:00,ap-southeast-1,firewall-03,Firewall CPU Overload,Low,231,Resolved
INC-1029,2025-03-10 14:15:00,2025-03-10 16:26:00,eu-west-1,router-02,Firewall CPU Overload,Medium,131,Resolved
INC-1030,2025-03-10 00:05:00,2025-03-10 00:49:00,eu-central-1,firewall-05,Link Down,Critical,44,Resolved
INC-1031,2025-03-10 12:57:00,2025-03-10 14:51:00,us-west-2,router-04,Link Down,Medium,114,Resolved
INC-1032,2025-03-10 08:59:00,2025-03-10 09:33:00,us-west-2,lb-04,DDoS Suspected,Critical,34,Resolved
INC-1033,2025-03-11 04:12:00,2025-03-11 07:16:00,eu-central-1,switch-core-05,BGP Route Flap,Medium,184,Resolved
INC-1034,2025-03-11 01:47:00,2025-03-11 05:05:00,us-east-1,switch-core-01,High Latency Spike,Medium,198,Resolved
INC-1035,2025-03-11 16:10:00,2025-03-11 19:18:00,us-east-1,router-01,Packet Loss Detected,Medium,188,Resolved
INC-1036,2025-03-11 21:55:00,2025-03-11 22:09:00,eu-west-1,firewall-02,MTU Mismatch,Critical,14,Resolved
INC-1037,2025-03-11 07:37:00,2025-03-11 19:20:00,us-east-1,router-01,Packet Loss Detected,Low,703,Resolved
INC-1038,2025-03-12 08:13:00,2025-03-12 10:33:00,eu-central-1,switch-core-05,BGP Route Flap,Medium,140,Resolved
INC-1039,2025-03-12 20:19:00,2025-03-13 00:10:00,ap-southeast-1,lb-03,Interface Error Rate High,Medium,231,Resolved
INC-1040,2025-03-12 02:34:00,2025-03-12 02:50:00,us-east-1,firewall-01,DDoS Suspected,Critical,16,Resolved
INC-1041,2025-03-12 07:23:00,2025-03-12 10:33:00,eu-west-1,switch-core-02,Link Down,Low,190,Resolved
INC-1042,2025-03-12 19:51:00,2025-03-13 03:00:00,us-west-2,router-04,DDoS Suspected,Low,429,Resolved
